source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0009063,amino acid catabolic process,0.003898095539326783,True,"""The chemical reactions and pathways resulting in the breakdown of amino acids, organic acids containing one or more amino substituents."" [GOC:ai]",43,1264,14,15075,0.011075949367088608,0.32558139534883723,query_1,"['GO:0006520', 'GO:0009056']"
GO:MF,GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",0.004275484343155028,True,"""Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from one donor, and two oxygen atoms is incorporated into a donor."" [GOC:mah]",42,1610,13,19993,0.008074534161490683,0.30952380952380953,query_1,"['GO:0016701', 'GO:0051213']"
GO:BP,GO:0170040,proteinogenic amino acid catabolic process,0.004509761121850888,True,"""The chemical reactions and pathways resulting in the breakdown of any amino acid that is incorporated into protein naturally by ribosomal translation of mRNA, and that has a specific codon for translation from mRNA to protein."" [GOC:ew]",38,1264,13,15075,0.010284810126582278,0.34210526315789475,query_1,"['GO:0046395', 'GO:0170039']"
GO:MF,GO:0038023,signaling receptor activity,0.005125497251561499,True,"""Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response."" [GOC:bf, GOC:signaling]",133,1610,26,19993,0.016149068322981366,0.19548872180451127,query_1,['GO:0060089']
GO:BP,GO:0170035,L-amino acid catabolic process,0.007049872839792628,True,"""The chemical reactions and pathways resulting in the breakdown of an L-amino acid."" [GOC:edw]",34,1264,12,15075,0.00949367088607595,0.35294117647058826,query_1,"['GO:0170033', 'GO:1901606']"
GO:BP,GO:1901606,alpha-amino acid catabolic process,0.008550924070998268,True,"""The chemical reactions and pathways resulting in the breakdown of an alpha-amino acid."" [GOC:TermGenie]",40,1264,13,15075,0.010284810126582278,0.325,query_1,"['GO:0009063', 'GO:0046395', 'GO:1901605']"
GO:BP,GO:0098542,defense response to other organism,0.009981194269242011,True,"""Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."" [GOC:dos]",98,1264,22,15075,0.01740506329113924,0.22448979591836735,query_1,"['GO:0006952', 'GO:0051707']"
GO:MF,GO:0008289,lipid binding,0.010982385210001975,True,"""Binding to a lipid."" [GOC:ai]",239,1610,38,19993,0.02360248447204969,0.1589958158995816,query_1,['GO:0005488']
GO:BP,GO:0007166,cell surface receptor signaling pathway,0.011746742215967977,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",174,1264,32,15075,0.02531645569620253,0.1839080459770115,query_1,['GO:0007165']
GO:MF,GO:0016757,glycosyltransferase activity,0.01958641415835757,True,"""Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."" [GOC:jl, ISBN:0198506732]",666,1610,82,19993,0.05093167701863354,0.12312312312312312,query_1,['GO:0016740']
GO:MF,GO:0051213,dioxygenase activity,0.0200327157960245,True,"""Catalysis of the incorporation of both atoms of molecular oxygen (O2) into the substrate."" [PMID:1444267]",82,1610,18,19993,0.011180124223602485,0.21951219512195122,query_1,['GO:0016491']
GO:MF,GO:0060089,molecular transducer activity,0.02333991682507741,True,"""A compound molecular function in which an effector function is controlled by one or more regulatory components."" [GOC:dos, GOC:pdt]",153,1610,27,19993,0.016770186335403725,0.17647058823529413,query_1,['GO:0003674']
GO:BP,GO:0042546,cell wall biogenesis,0.025702637518186668,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cell wall. Includes biosynthesis of constituent macromolecules, such as proteins and polysaccharides, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component. A cell wall is the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."" [GOC:jl, GOC:mah, GOC:mtg_sensu, ISBN:0198506732]",126,1264,25,15075,0.01977848101265823,0.1984126984126984,query_1,"['GO:0044085', 'GO:0071554']"
GO:BP,GO:0009698,phenylpropanoid metabolic process,0.028011866035997608,True,"""The chemical reactions and pathways involving aromatic derivatives of trans-cinnamic acid."" [GOC:jl]",90,1264,20,15075,0.015822784810126583,0.2222222222222222,query_1,['GO:0019748']
GO:BP,GO:0016054,organic acid catabolic process,0.03143088709739741,True,"""The chemical reactions and pathways resulting in the breakdown of organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",70,1264,17,15075,0.013449367088607595,0.24285714285714285,query_1,"['GO:0006082', 'GO:0044282']"
GO:BP,GO:0046395,carboxylic acid catabolic process,0.03143088709739741,True,"""The chemical reactions and pathways resulting in the breakdown of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."" [ISBN:0198506732]",70,1264,17,15075,0.013449367088607595,0.24285714285714285,query_1,"['GO:0016054', 'GO:0019752']"
GO:BP,GO:0009617,response to bacterium,0.039030317153053926,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]",92,1264,20,15075,0.015822784810126583,0.21739130434782608,query_1,['GO:0051707']
GO:MF,GO:0008194,UDP-glycosyltransferase activity,0.047747040229902775,True,"""Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."" [PMID:11846783]",339,1610,47,19993,0.029192546583850933,0.13864306784660768,query_1,['GO:0016757']
